verstossen_gegen,atentar contra algo,,
sich_vor-bereiten_auf,prepararse para algo,,
warten_auf,esperar a alguien,,
sich_wehren_gegen,oponerse a algo,,
um_wetten_mit,apostarse algo con alguien,,
sich_wundern_ueber,sorprenderse de algo,,
zu-gehen_auf,acercarse a alguien o algo,,
von_zeugen,poner algo de manifiesto,,
an-geben,show off o vender humo,,
verhandeln,negociar,,
vorhaben,planear algo,,
sich_verpflichten,comprometerse a algo,,
vermuten,suponer,,
befuerchten,temer algo,,
beschrieben,describir a algo o alguien,,
befehlen,ordenar command,,
empfinden,experimentar o sentir algo,,
sich_erschrecken,asustarse,,
gebaeren,dar a luz,,
stehen,estar de pie,,
stehlen,robar algo,,
misslingen,acabar mal o fallar,,
schlingen,atar o enrollar,,
verschwinden,desaparecer,,
werfen,tirar algo,,
geschehen,ocurrir o suceder,,
treten,pisar,,
greifen,agarrar algo,,
leiden,sufrir o agonizar,,
pfeifen,pitar o silbar,,
reiten,montar a caballo,,
streichen,suprimir o quitar o pintar un pared,,
weichen,obedecer,,
meiden,huir de algo,,
reiben,frotar algo,,
schweigen,callar,,
empfangen,recibir a algo o alguien,,
stossen,empujar algo o alguien,,
geraten,salir bien,,
raten,adivinar,,
biegen,torcer,,
bieten,ofrecer,,
flechten,tejer,,
frieren,congelar,,
gaeren,fermentar,,
schwoeren,jurar algo,,
einschaetzen,evaluar a alguien o algo,,
entlassen,echar a alguien del trabajo,,
